Class,AntiSingleton,ClassDataShouldBePrivate,RefusedParentBequest,ComplexClass,LazyClass,LongParameterList,SpeculativeGenerality
org.apache.xalan.xsltc.compiler.util.NodeType,0,0,0,0,0,0,0
org.apache.xpath.compiler.XPathDumper,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.StringCall,0,0,0,0,0,0,0
org.apache.xml.dtm.ref.dom2dtm.DOM2DTM,0,0,0,0,0,3,0
org.apache.xml.utils.SerializableLocatorImpl,0,0,0,0,0,0,0
org.w3c.dom.xpath.XPathException,0,0,0,0,0,0,0
org.apache.xml.serializer.ToXMLSAXHandler,0,0,0,0,0,2,0
org.apache.xpath.functions.FuncExtFunctionAvailable,0,0,0,0,0,0,0
org.apache.xpath.functions.WrongNumberArgsException,0,0,0,0,1,0,0
org.apache.xalan.templates.RedundentExprEliminator,2,1,0,0,0,4,0
org.apache.xalan.xsltc.compiler.util.ObjectType,0,0,0,0,0,0,0
org.apache.xalan.lib.sql.PooledConnection,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.sym,0,0,0,0,0,0,0
org.apache.xml.dtm.ref.NodeLocator,0,0,0,0,0,0,0
org.apache.xalan.extensions.SecuritySupport12,0,0,0,0,0,0,0
org.apache.xml.dtm.ref.DTMDefaultBaseTraversers,0,0,0,0,0,2,0
org.apache.xalan.res.XSLTErrorResources_sv,0,0,0,0,0,0,0
org.apache.xml.serializer.ToHTMLStream,0,0,0,0,0,2,0
org.apache.xpath.axes.WalkingIterator,0,0,0,0,0,0,0
org.apache.xalan.res.XSLTErrorResources_sk,0,0,0,0,0,0,0
org.apache.xalan.extensions.ExtensionHandlerExsltFunction,0,0,0,0,0,2,0
org.apache.xpath.domapi.XPathNamespaceImpl,0,0,0,0,0,0,0
org.apache.xalan.xsltc.runtime.ErrorMessages_zh_CN,0,0,0,0,0,0,0
org.apache.xpath.axes.OneStepIteratorForward,0,0,0,0,0,0,0
org.apache.xml.dtm.ref.DTMNodeProxy,0,0,0,0,0,0,0
org.apache.xpath.operations.Bool,0,0,0,0,0,0,0
org.apache.xpath.functions.FuncLang,0,0,0,0,0,0,0
org.apache.xalan.xsltc.trax.DOM2TO,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.MethodGenerator,0,0,0,1,0,1,0
org.apache.xml.utils.ListingErrorHandler,0,0,0,0,0,0,0
org.apache.xpath.functions.FuncNot,0,0,0,0,0,0,0
org.apache.xml.utils.ObjectPool,0,0,0,0,0,0,0
org.apache.xalan.extensions.ExtensionNamespacesManager,0,0,0,0,0,0,0
org.apache.xalan.res.XSLTErrorResources_ru,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.IntExpr,0,0,0,0,0,0,0
org.apache.xalan.transformer.XSLInfiniteLoopException,0,0,0,0,0,0,0
org.apache.xalan.trace.ExtensionEvent,0,0,0,0,0,0,0
org.apache.xalan.xsltc.cmdline.SecuritySupport12,0,0,0,0,0,0,0
org.apache.xalan.extensions.ObjectFactory,0,0,0,0,0,0,0
org.apache.xml.serializer.CharInfo,3,4,0,0,0,0,0
org.apache.xalan.templates.ElemAttribute,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.CompareGenerator,0,0,0,0,0,0,0
org.apache.xalan.processor.ProcessorGlobalParamDecl,0,0,0,0,0,0,0
org.apache.xml.utils.WrappedRuntimeException,0,0,0,0,0,0,0
org.apache.xalan.trace.SelectionEvent,0,0,0,0,0,6,0
org.apache.xalan.res.XSLMessages,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.AttributeSetMethodGenerator,0,0,0,0,0,0,0
org.apache.xpath.functions.FuncNumber,0,0,0,0,0,0,0
org.apache.xalan.transformer.TransformerIdentityImpl,0,0,0,0,0,0,0
org.apache.xpath.compiler.PsuedoNames,0,0,0,0,0,0,0
